Entry	Entry name	Status	Protein names	Gene names	Organism	Gene ontology (biological process)	Gene ontology (GO)	Gene ontology IDs
Q7K4Q5	Y0417_DROME	reviewed	Probable protein phosphatase CG10417 (EC 3.1.3.16)	CG10417	Drosophila melanogaster (Fruit fly)	protein dephosphorylation [GO:0006470]	cytoplasm [GO:0005737]; metal ion binding [GO:0046872]; protein serine phosphatase activity [GO:0106306]; protein serine/threonine phosphatase activity [GO:0004722]; protein threonine phosphatase activity [GO:0106307]; protein dephosphorylation [GO:0006470]	GO:0004722; GO:0005737; GO:0006470; GO:0046872; GO:0106306; GO:0106307
Q9NZC7	WWOX_HUMAN	reviewed	WW domain-containing oxidoreductase (EC 1.1.1.-) (Fragile site FRA16D oxidoreductase) (Short chain dehydrogenase/reductase family 41C member 1)	WWOX FOR SDR41C1 WOX1	Homo sapiens (Human)	cellular response to transforming growth factor beta stimulus [GO:0071560]; extrinsic apoptotic signaling pathway [GO:0097191]; intrinsic apoptotic signaling pathway by p53 class mediator [GO:0072332]; negative regulation of Wnt signaling pathway [GO:0030178]; osteoblast differentiation [GO:0001649]; positive regulation of extrinsic apoptotic signaling pathway [GO:2001238]; positive regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001241]; positive regulation of transcription by RNA polymerase II [GO:0045944]; skeletal system morphogenesis [GO:0048705]; Wnt signaling pathway [GO:0016055]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA polymerase II transcription regulator complex [GO:0090575]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; oxidoreductase activity [GO:0016491]; transcription coactivator activity [GO:0003713]; cellular response to transforming growth factor beta stimulus [GO:0071560]; extrinsic apoptotic signaling pathway [GO:0097191]; intrinsic apoptotic signaling pathway by p53 class mediator [GO:0072332]; negative regulation of Wnt signaling pathway [GO:0030178]; osteoblast differentiation [GO:0001649]; positive regulation of extrinsic apoptotic signaling pathway [GO:2001238]; positive regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001241]; positive regulation of transcription by RNA polymerase II [GO:0045944]; skeletal system morphogenesis [GO:0048705]; Wnt signaling pathway [GO:0016055]	GO:0001649; GO:0003713; GO:0005634; GO:0005654; GO:0005737; GO:0005739; GO:0005794; GO:0005829; GO:0016055; GO:0016491; GO:0019899; GO:0030178; GO:0042802; GO:0045944; GO:0048705; GO:0071560; GO:0072332; GO:0090575; GO:0097191; GO:2001238; GO:2001241
Q9UNH5	CC14A_HUMAN	reviewed	Dual specificity protein phosphatase CDC14A (EC 3.1.3.16) (EC 3.1.3.48) (CDC14 cell division cycle 14 homolog A)	CDC14A	Homo sapiens (Human)	cell division [GO:0051301]; cilium assembly [GO:0060271]; microtubule cytoskeleton organization [GO:0000226]; mitotic cell cycle [GO:0000278]; positive regulation of cytokinesis [GO:0032467]; regulation of cell cycle [GO:0051726]; regulation of exit from mitosis [GO:0007096]; sensory perception of sound [GO:0007605]	centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; kinociliary basal body [GO:1902636]; kinocilium [GO:0060091]; mitotic spindle [GO:0072686]; nuclear body [GO:0016604]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; spindle pole [GO:0000922]; stereocilium tip [GO:0032426]; protein serine phosphatase activity [GO:0106306]; protein serine/threonine phosphatase activity [GO:0004722]; protein threonine phosphatase activity [GO:0106307]; protein tyrosine phosphatase activity [GO:0004725]; protein tyrosine/serine/threonine phosphatase activity [GO:0008138]; cell division [GO:0051301]; cilium assembly [GO:0060271]; microtubule cytoskeleton organization [GO:0000226]; mitotic cell cycle [GO:0000278]; positive regulation of cytokinesis [GO:0032467]; regulation of cell cycle [GO:0051726]; regulation of exit from mitosis [GO:0007096]; sensory perception of sound [GO:0007605]	GO:0000226; GO:0000278; GO:0000922; GO:0004722; GO:0004725; GO:0005654; GO:0005730; GO:0005737; GO:0005813; GO:0005829; GO:0007096; GO:0007605; GO:0008138; GO:0016604; GO:0032426; GO:0032467; GO:0051301; GO:0051726; GO:0060091; GO:0060271; GO:0072686; GO:0106306; GO:0106307; GO:1902636
Q9V9S7	SYDE_DROME	reviewed	Rho GTPase-activating protein 100F (RhoGAP-100F) (Synapse defective protein 1 homolog) (Protein syd-1 homolog)	RhoGAP100F CG1976	Drosophila melanogaster (Fruit fly)	activation of GTPase activity [GO:0090630]; axon extension involved in axon guidance [GO:0048846]; cytoskeletal matrix organization at active zone [GO:0048789]; maintenance of presynaptic active zone structure [GO:0048790]; presynaptic active zone organization [GO:1990709]; R7 cell development [GO:0045467]; Rho protein signal transduction [GO:0007266]; synapse assembly [GO:0007416]; synaptic vesicle localization [GO:0097479]	neuromuscular junction [GO:0031594]; presynaptic active zone [GO:0048786]; presynaptic active zone cytoplasmic component [GO:0098831]; GTPase activator activity [GO:0005096]; activation of GTPase activity [GO:0090630]; axon extension involved in axon guidance [GO:0048846]; cytoskeletal matrix organization at active zone [GO:0048789]; maintenance of presynaptic active zone structure [GO:0048790]; presynaptic active zone organization [GO:1990709]; R7 cell development [GO:0045467]; Rho protein signal transduction [GO:0007266]; synapse assembly [GO:0007416]; synaptic vesicle localization [GO:0097479]	GO:0005096; GO:0007266; GO:0007416; GO:0031594; GO:0045467; GO:0048786; GO:0048789; GO:0048790; GO:0048846; GO:0090630; GO:0097479; GO:0098831; GO:1990709
Q7Z2Z2	EFL1_HUMAN	reviewed	Elongation factor-like GTPase 1 (Elongation factor Tu GTP-binding domain-containing protein 1) (Elongation factor-like 1) (Protein FAM42A)	EFL1 EFTUD1 FAM42A	Homo sapiens (Human)	GTP metabolic process [GO:0046039]; mature ribosome assembly [GO:0042256]	ribonucleoprotein complex [GO:1990904]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; ribosome binding [GO:0043022]; translation elongation factor activity [GO:0003746]; GTP metabolic process [GO:0046039]; mature ribosome assembly [GO:0042256]	GO:0003746; GO:0003924; GO:0005525; GO:0042256; GO:0043022; GO:0046039; GO:1990904
Q13042	CDC16_HUMAN	reviewed	Cell division cycle protein 16 homolog (Anaphase-promoting complex subunit 6) (APC6) (CDC16 homolog) (CDC16Hs) (Cyclosome subunit 6)	CDC16 ANAPC6	Homo sapiens (Human)	anaphase-promoting complex-dependent catabolic process [GO:0031145]; cell division [GO:0051301]; metaphase/anaphase transition of mitotic cell cycle [GO:0007091]; positive regulation of mitotic metaphase/anaphase transition [GO:0045842]; protein K11-linked ubiquitination [GO:0070979]; protein ubiquitination [GO:0016567]	anaphase-promoting complex [GO:0005680]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitotic spindle [GO:0072686]; nucleoplasm [GO:0005654]; anaphase-promoting complex-dependent catabolic process [GO:0031145]; cell division [GO:0051301]; metaphase/anaphase transition of mitotic cell cycle [GO:0007091]; positive regulation of mitotic metaphase/anaphase transition [GO:0045842]; protein K11-linked ubiquitination [GO:0070979]; protein ubiquitination [GO:0016567]	GO:0005654; GO:0005680; GO:0005737; GO:0005813; GO:0005829; GO:0007091; GO:0016567; GO:0031145; GO:0045842; GO:0051301; GO:0070979; GO:0072686
P00765	TRYP_ASTAS	reviewed	Trypsin-1 (EC 3.4.21.4) (Trypsin I)		Astacus astacus (Noble crayfish) (Astacus fluviatilis)	digestion [GO:0007586]	extracellular space [GO:0005615]; metal ion binding [GO:0046872]; serine-type endopeptidase activity [GO:0004252]; digestion [GO:0007586]	GO:0004252; GO:0005615; GO:0007586; GO:0046872
Q5R4G2	PA1B2_PONAB	reviewed	Platelet-activating factor acetylhydrolase IB subunit alpha2 (EC 3.1.1.47) (PAF acetylhydrolase 30 kDa subunit) (PAF-AH 30 kDa subunit) (PAF-AH subunit beta) (PAFAH subunit beta)	PAFAH1B2 PAFAHB	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	lipid catabolic process [GO:0016042]; spermatogenesis [GO:0007283]	1-alkyl-2-acetylglycerophosphocholine esterase complex [GO:0008247]; cytoplasm [GO:0005737]; 1-alkyl-2-acetylglycerophosphocholine esterase activity [GO:0003847]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; lipid catabolic process [GO:0016042]; spermatogenesis [GO:0007283]	GO:0003847; GO:0005737; GO:0007283; GO:0008247; GO:0016042; GO:0042803; GO:0046982
Q5R6L8	GPI8_PONAB	reviewed	GPI-anchor transamidase (GPI transamidase) (EC 3.-.-.-) (Phosphatidylinositol-glycan biosynthesis class K protein) (PIG-K)	PIGK	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	attachment of GPI anchor to protein [GO:0016255]	GPI-anchor transamidase complex [GO:0042765]; GPI-anchor transamidase activity [GO:0003923]; attachment of GPI anchor to protein [GO:0016255]	GO:0003923; GO:0016255; GO:0042765
F5A6E9	TPIS_PROCL	reviewed	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Methylglyoxal synthase) (EC 4.2.3.3) (Triose-phosphate isomerase) (allergen Pro c 8.0101)		Procambarus clarkii (Red swamp crayfish)	gluconeogenesis [GO:0006094]; glyceraldehyde-3-phosphate biosynthetic process [GO:0046166]; glycolytic process [GO:0006096]; methylglyoxal biosynthetic process [GO:0019242]	cytoplasm [GO:0005737]; IgE binding [GO:0019863]; methylglyoxal synthase activity [GO:0008929]; protein homodimerization activity [GO:0042803]; triose-phosphate isomerase activity [GO:0004807]; gluconeogenesis [GO:0006094]; glyceraldehyde-3-phosphate biosynthetic process [GO:0046166]; glycolytic process [GO:0006096]; methylglyoxal biosynthetic process [GO:0019242]	GO:0004807; GO:0005737; GO:0006094; GO:0006096; GO:0008929; GO:0019242; GO:0019863; GO:0042803; GO:0046166
Q9BX10	GTPB2_HUMAN	reviewed	GTP-binding protein 2	GTPBP2	Homo sapiens (Human)	translational elongation [GO:0006414]	extracellular region [GO:0005576]; platelet alpha granule lumen [GO:0031093]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; identical protein binding [GO:0042802]; translation elongation factor activity [GO:0003746]; translational elongation [GO:0006414]	GO:0003746; GO:0003924; GO:0005525; GO:0005576; GO:0006414; GO:0031093; GO:0042802
Q9VPT8	CPSF4_DROME	reviewed	Cleavage and polyadenylation specificity factor subunit 4 (EC 3.1.-.-) (Cleavage and polyadenylation specificity factor 30 kDa subunit) (Protein clipper)	Clp CPSF30 Ssb-c6a CG3642	Drosophila melanogaster (Fruit fly)	pre-mRNA cleavage required for polyadenylation [GO:0098789]	mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]; endoribonuclease activity [GO:0004521]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270]; pre-mRNA cleavage required for polyadenylation [GO:0098789]	GO:0003723; GO:0004521; GO:0005847; GO:0008270; GO:0098789
Q6GQW0	BTBDB_MOUSE	reviewed	Ankyrin repeat and BTB/POZ domain-containing protein BTBD11 (BTB/POZ domain-containing protein 11)	Btbd11	Mus musculus (Mouse)	SMAD protein signal transduction [GO:0060395]	integral component of membrane [GO:0016021]; protein heterodimerization activity [GO:0046982]; SMAD protein signal transduction [GO:0060395]	GO:0016021; GO:0046982; GO:0060395
Q9V427	INX2_DROME	reviewed	Innexin inx2 (Innexin-2) (Gap junction protein prp33) (Pas-related protein 33)	Inx2 prp33 CG4590	Drosophila melanogaster (Fruit fly)	cell communication [GO:0007154]; foregut morphogenesis [GO:0007440]; germarium-derived egg chamber formation [GO:0007293]; germarium-derived female germ-line cyst formation [GO:0030727]; intercellular transport [GO:0010496]; ion transport [GO:0006811]; male germ-line stem cell population maintenance [GO:0036098]; morphogenesis of embryonic epithelium [GO:0016331]; phototransduction [GO:0007602]; spermatogenesis [GO:0007283]	apical plasma membrane [GO:0016324]; apicolateral plasma membrane [GO:0016327]; basolateral plasma membrane [GO:0016323]; cytoplasm [GO:0005737]; gap junction [GO:0005921]; integral component of membrane [GO:0016021]; lateral plasma membrane [GO:0016328]; plasma membrane [GO:0005886]; gap junction channel activity [GO:0005243]; cell communication [GO:0007154]; foregut morphogenesis [GO:0007440]; germarium-derived egg chamber formation [GO:0007293]; germarium-derived female germ-line cyst formation [GO:0030727]; intercellular transport [GO:0010496]; ion transport [GO:0006811]; male germ-line stem cell population maintenance [GO:0036098]; morphogenesis of embryonic epithelium [GO:0016331]; phototransduction [GO:0007602]; spermatogenesis [GO:0007283]	GO:0005243; GO:0005737; GO:0005886; GO:0005921; GO:0006811; GO:0007154; GO:0007283; GO:0007293; GO:0007440; GO:0007602; GO:0010496; GO:0016021; GO:0016323; GO:0016324; GO:0016327; GO:0016328; GO:0016331; GO:0030727; GO:0036098
Q6PBY7	TPC13_DANRE	reviewed	Trafficking protein particle complex subunit 13	trappc13 zgc:73187	Danio rerio (Zebrafish) (Brachydanio rerio)		TRAPPIII protein complex [GO:1990072]	GO:1990072
Q9C8L4	ETHE1_ARATH	reviewed	Persulfide dioxygenase ETHE1 homolog, mitochondrial (EC 1.13.11.18) (Glyoxalase II) (Glx II) (Sulfur dioxygenase ETHE1)	GLY3 At1g53580 F22G10.9 T3F20.11	Arabidopsis thaliana (Mouse-ear cress)	embryo development ending in seed dormancy [GO:0009793]; endosperm development [GO:0009960]; glutathione metabolic process [GO:0006749]; hydrogen sulfide metabolic process [GO:0070813]; seed development [GO:0048316]	mitochondrion [GO:0005739]; nucleus [GO:0005634]; hydrolase activity, acting on ester bonds [GO:0016788]; metal ion binding [GO:0046872]; sulfur dioxygenase activity [GO:0050313]; embryo development ending in seed dormancy [GO:0009793]; endosperm development [GO:0009960]; glutathione metabolic process [GO:0006749]; hydrogen sulfide metabolic process [GO:0070813]; seed development [GO:0048316]	GO:0005634; GO:0005739; GO:0006749; GO:0009793; GO:0009960; GO:0016788; GO:0046872; GO:0048316; GO:0050313; GO:0070813
Q9XYC2	RL15_FAXLI	reviewed	60S ribosomal protein L15	RPL15	Faxonius limosus (Spinycheek crayfish) (Orconectes limosus)	translation [GO:0006412]	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412
P11413	G6PD_HUMAN	reviewed	Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49)	G6PD	Homo sapiens (Human)	cellular response to oxidative stress [GO:0034599]; cholesterol biosynthetic process [GO:0006695]; erythrocyte maturation [GO:0043249]; glucose 6-phosphate metabolic process [GO:0051156]; glucose metabolic process [GO:0006006]; glutathione metabolic process [GO:0006749]; lipid metabolic process [GO:0006629]; NADPH regeneration [GO:0006740]; NADP metabolic process [GO:0006739]; negative regulation of cell growth involved in cardiac muscle cell development [GO:0061052]; negative regulation of protein glutathionylation [GO:0010734]; negative regulation of reactive oxygen species metabolic process [GO:2000378]; pentose biosynthetic process [GO:0019322]; pentose-phosphate shunt [GO:0006098]; pentose-phosphate shunt, oxidative branch [GO:0009051]; positive regulation of calcium ion transmembrane transport via high voltage-gated calcium channel [GO:1904879]; regulation of neuron apoptotic process [GO:0043523]; response to ethanol [GO:0045471]; response to food [GO:0032094]; response to iron(III) ion [GO:0010041]; response to organic cyclic compound [GO:0014070]; ribose phosphate biosynthetic process [GO:0046390]; substantia nigra development [GO:0021762]	centriolar satellite [GO:0034451]; cytoplasm [GO:0005737]; cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; nucleus [GO:0005634]; glucose binding [GO:0005536]; glucose-6-phosphate dehydrogenase activity [GO:0004345]; identical protein binding [GO:0042802]; NADP binding [GO:0050661]; protein homodimerization activity [GO:0042803]; cellular response to oxidative stress [GO:0034599]; cholesterol biosynthetic process [GO:0006695]; erythrocyte maturation [GO:0043249]; glucose 6-phosphate metabolic process [GO:0051156]; glucose metabolic process [GO:0006006]; glutathione metabolic process [GO:0006749]; lipid metabolic process [GO:0006629]; NADP metabolic process [GO:0006739]; NADPH regeneration [GO:0006740]; negative regulation of cell growth involved in cardiac muscle cell development [GO:0061052]; negative regulation of protein glutathionylation [GO:0010734]; negative regulation of reactive oxygen species metabolic process [GO:2000378]; pentose biosynthetic process [GO:0019322]; pentose-phosphate shunt [GO:0006098]; pentose-phosphate shunt, oxidative branch [GO:0009051]; positive regulation of calcium ion transmembrane transport via high voltage-gated calcium channel [GO:1904879]; regulation of neuron apoptotic process [GO:0043523]; response to ethanol [GO:0045471]; response to food [GO:0032094]; response to iron(III) ion [GO:0010041]; response to organic cyclic compound [GO:0014070]; ribose phosphate biosynthetic process [GO:0046390]; substantia nigra development [GO:0021762]	GO:0004345; GO:0005536; GO:0005634; GO:0005737; GO:0005829; GO:0006006; GO:0006098; GO:0006629; GO:0006695; GO:0006739; GO:0006740; GO:0006749; GO:0009051; GO:0009898; GO:0010041; GO:0010734; GO:0014070; GO:0016020; GO:0019322; GO:0021762; GO:0032094; GO:0034451; GO:0034599; GO:0042802; GO:0042803; GO:0043231; GO:0043249; GO:0043523; GO:0045471; GO:0046390; GO:0050661; GO:0051156; GO:0061052; GO:0070062; GO:1904879; GO:2000378
Q9BWT3	PAPOG_HUMAN	reviewed	Poly(A) polymerase gamma (PAP-gamma) (EC 2.7.7.19) (Neo-poly(A) polymerase) (Neo-PAP) (Polynucleotide adenylyltransferase gamma) (SRP RNA 3'-adenylating enzyme) (Signal recognition particle RNA-adenylating enzyme) (SRP RNA-adenylating enzyme)	PAPOLG PAP2 PAPG	Homo sapiens (Human)	mRNA polyadenylation [GO:0006378]; RNA polyadenylation [GO:0043631]	cytosol [GO:0005829]; membrane [GO:0016020]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; polynucleotide adenylyltransferase activity [GO:0004652]; RNA binding [GO:0003723]; mRNA polyadenylation [GO:0006378]; RNA polyadenylation [GO:0043631]	GO:0003723; GO:0004652; GO:0005524; GO:0005634; GO:0005654; GO:0005829; GO:0006378; GO:0016020; GO:0016604; GO:0043631; GO:0046872
Q90WD0	ARP3_CHICK	reviewed	Actin-related protein 3 (Actin-like protein 3)	ACTR3 ARP3	Gallus gallus (Chicken)	Arp2/3 complex-mediated actin nucleation [GO:0034314]; asymmetric cell division [GO:0008356]; cellular response to interferon-gamma [GO:0071346]; cilium assembly [GO:0060271]; establishment or maintenance of cell polarity [GO:0007163]; meiotic chromosome movement towards spindle pole [GO:0016344]; meiotic cytokinesis [GO:0033206]; positive regulation of lamellipodium assembly [GO:0010592]; positive regulation of transcription by RNA polymerase II [GO:0045944]; spindle localization [GO:0051653]	Arp2/3 protein complex [GO:0005885]; brush border [GO:0005903]; cell-cell junction [GO:0005911]; cytoplasm [GO:0005737]; lamellipodium [GO:0030027]; nucleus [GO:0005634]; site of double-strand break [GO:0035861]; actin filament binding [GO:0051015]; ATP binding [GO:0005524]; structural constituent of cytoskeleton [GO:0005200]; Arp2/3 complex-mediated actin nucleation [GO:0034314]; asymmetric cell division [GO:0008356]; cellular response to interferon-gamma [GO:0071346]; cilium assembly [GO:0060271]; establishment or maintenance of cell polarity [GO:0007163]; meiotic chromosome movement towards spindle pole [GO:0016344]; meiotic cytokinesis [GO:0033206]; positive regulation of lamellipodium assembly [GO:0010592]; positive regulation of transcription by RNA polymerase II [GO:0045944]; spindle localization [GO:0051653]	GO:0005200; GO:0005524; GO:0005634; GO:0005737; GO:0005885; GO:0005903; GO:0005911; GO:0007163; GO:0008356; GO:0010592; GO:0016344; GO:0030027; GO:0033206; GO:0034314; GO:0035861; GO:0045944; GO:0051015; GO:0051653; GO:0060271; GO:0071346
Q09214	YP65_CAEEL	reviewed	Uncharacterized protein B0495.5	B0495.5	Caenorhabditis elegans	carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	GO:0005975
Q8CGC7	SYEP_MOUSE	reviewed	Bifunctional glutamate/proline--tRNA ligase (Bifunctional aminoacyl-tRNA synthetase) [Includes: Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS); Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)]	Eprs1 Eprs Qprs	Mus musculus (Mouse)	cellular response to insulin stimulus [GO:0032869]; cellular response to interferon-gamma [GO:0071346]; glutamyl-tRNA aminoacylation [GO:0006424]; negative regulation of translation [GO:0017148]; prolyl-tRNA aminoacylation [GO:0006433]; regulation of long-chain fatty acid import into cell [GO:0140212]	aminoacyl-tRNA synthetase multienzyme complex [GO:0017101]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; GAIT complex [GO:0097452]; plasma membrane [GO:0005886]; ribonucleoprotein complex [GO:1990904]; ATP binding [GO:0005524]; glutamate-tRNA ligase activity [GO:0004818]; GTPase binding [GO:0051020]; identical protein binding [GO:0042802]; proline-tRNA ligase activity [GO:0004827]; protein homodimerization activity [GO:0042803]; RNA stem-loop binding [GO:0035613]; zinc ion binding [GO:0008270]; cellular response to insulin stimulus [GO:0032869]; cellular response to interferon-gamma [GO:0071346]; glutamyl-tRNA aminoacylation [GO:0006424]; negative regulation of translation [GO:0017148]; prolyl-tRNA aminoacylation [GO:0006433]; regulation of long-chain fatty acid import into cell [GO:0140212]	GO:0004818; GO:0004827; GO:0005524; GO:0005737; GO:0005829; GO:0005886; GO:0006424; GO:0006433; GO:0008270; GO:0017101; GO:0017148; GO:0032869; GO:0035613; GO:0042802; GO:0042803; GO:0051020; GO:0071346; GO:0097452; GO:0140212; GO:1990904
Q9CPY6	GID4_MOUSE	reviewed	Glucose-induced degradation protein 4 homolog (Vacuolar import and degradation protein 24 homolog)	Gid4	Mus musculus (Mouse)	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	ubiquitin ligase complex [GO:0000151]; ubiquitin protein ligase activity [GO:0061630]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	GO:0000151; GO:0043161; GO:0061630
Q8VIB5	BARH2_MOUSE	reviewed	BarH-like 2 homeobox protein (Bar-class homeodomain protein MBH1) (Homeobox protein B-H1)	Barhl2 Barh1 Mbh1	Mus musculus (Mouse)	cell fate commitment [GO:0045165]; cell fate determination [GO:0001709]; nervous system development [GO:0007399]; neuron differentiation [GO:0030182]; neuron migration [GO:0001764]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of translation [GO:0045727]; regulation of axon extension [GO:0030516]; regulation of transcription by RNA polymerase II [GO:0006357]	nucleus [GO:0005634]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific double-stranded DNA binding [GO:1990837]; cell fate commitment [GO:0045165]; cell fate determination [GO:0001709]; nervous system development [GO:0007399]; neuron differentiation [GO:0030182]; neuron migration [GO:0001764]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of translation [GO:0045727]; regulation of axon extension [GO:0030516]; regulation of transcription by RNA polymerase II [GO:0006357]	GO:0000977; GO:0000981; GO:0001228; GO:0001709; GO:0001764; GO:0003700; GO:0005634; GO:0006357; GO:0007399; GO:0030182; GO:0030516; GO:0045165; GO:0045727; GO:0045944; GO:1990837
Q5RFK6	SUH_PONAB	reviewed	Recombining binding protein suppressor of hairless (J kappa-recombination signal-binding protein) (RBP-J kappa)	RBPJ RBPSUH	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	positive regulation of transcription from RNA polymerase II promoter in response to hypoxia [GO:0061419]; positive regulation of transcription of Notch receptor target [GO:0007221]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor binding [GO:0140297]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; positive regulation of transcription from RNA polymerase II promoter in response to hypoxia [GO:0061419]; positive regulation of transcription of Notch receptor target [GO:0007221]	GO:0000978; GO:0001228; GO:0005634; GO:0005737; GO:0007221; GO:0043565; GO:0061419; GO:0140297
Q24255	BARH1_DROME	reviewed	Homeobox protein B-H1 (Homeobox protein BarH1)	B-H1 barh1 CG5529	Drosophila melanogaster (Fruit fly)	chaeta morphogenesis [GO:0008407]; compound eye photoreceptor cell differentiation [GO:0001751]; eye-antennal disc morphogenesis [GO:0007455]; eye pigment granule organization [GO:0008057]; leg disc proximal/distal pattern formation [GO:0007479]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; regulation of transcription by RNA polymerase II [GO:0006357]; response to stimulus [GO:0050896]; sensory organ boundary specification [GO:0008052]; visual perception [GO:0007601]	nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; chaeta morphogenesis [GO:0008407]; compound eye photoreceptor cell differentiation [GO:0001751]; eye pigment granule organization [GO:0008057]; eye-antennal disc morphogenesis [GO:0007455]; leg disc proximal/distal pattern formation [GO:0007479]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription, DNA-templated [GO:0045892]; regulation of transcription by RNA polymerase II [GO:0006357]; response to stimulus [GO:0050896]; sensory organ boundary specification [GO:0008052]; visual perception [GO:0007601]	GO:0000122; GO:0000977; GO:0000981; GO:0001751; GO:0005634; GO:0006357; GO:0007455; GO:0007479; GO:0007601; GO:0008052; GO:0008057; GO:0008407; GO:0045892; GO:0050896
B0BN95	HARB1_RAT	reviewed	Putative nuclease HARBI1 (EC 3.1.-.-) (Harbinger transposase-derived nuclease)	Harbi1	Rattus norvegicus (Rat)		cytoplasm [GO:0005737]; nucleus [GO:0005634]; metal ion binding [GO:0046872]; nuclease activity [GO:0004518]	GO:0004518; GO:0005634; GO:0005737; GO:0046872
Q5RKI1	IF4A2_RAT	reviewed	Eukaryotic initiation factor 4A-II (eIF-4A-II) (eIF4A-II) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-2)	Eif4a2	Rattus norvegicus (Rat)	cellular response to leukemia inhibitory factor [GO:1990830]; cytoplasmic translational initiation [GO:0002183]; negative regulation of RNA-directed 5'-3' RNA polymerase activity [GO:1900260]	perinuclear region of cytoplasm [GO:0048471]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0140603]; RNA helicase activity [GO:0003724]; translation initiation factor activity [GO:0003743]; cellular response to leukemia inhibitory factor [GO:1990830]; cytoplasmic translational initiation [GO:0002183]; negative regulation of RNA-directed 5'-3' RNA polymerase activity [GO:1900260]	GO:0002183; GO:0003724; GO:0003743; GO:0005524; GO:0048471; GO:0140603; GO:1900260; GO:1990830
