ID	BlastType	SeqLength	HitAcc	HitDesc	Score	E-Value	PercentIdent	QueryStart	QueryEnd	HitStart	HitEnd
evm.model.HiC_scaffold_53.15	BLASTX1	848	XP_045129685.1	uncharacterized protein LOC123515209 [Portunus trituberculatus]	150	8e-07	27/53 (50%)	421	579	81	133
evm.model.HiC_scaffold_53.150	BLASTX1	320	KAF8788974.1	Embryonic polyadenylate-binding protein like [Argiope bruennichi]	143	2e-08	29/68 (42%)	106	309	60	127
evm.model.HiC_scaffold_53.151	No Hit Found										
evm.model.HiC_scaffold_53.152	No Hit Found										
evm.model.HiC_scaffold_53.153	BLASTX1	555	XP_045129685.1	uncharacterized protein LOC123515209 [Portunus trituberculatus]	218	8e-17	46/109 (42%)	223	549	83	191
evm.model.HiC_scaffold_53.154	No Hit Found										
evm.model.HiC_scaffold_53.155	BLASTX1	831	XP_028129883.1	uncharacterized protein LOC114325933 [Diabrotica virgifera virgifera]	256	1e-20	51/122 (41%)	304	666	1	120
evm.model.HiC_scaffold_53.156	BLASTX1	1298	XP_031645138.1	foot protein 1 variant 1-like [Oncorhynchus kisutch]	205	5e-13	130/428 (30%)	25	1242	76	441
evm.model.HiC_scaffold_53.157	BLASTX1	203	XP_045101276.1	protein inturned-like [Portunus trituberculatus]	147	1e-12	29/44 (65%)	73	201	733	776
evm.model.HiC_scaffold_53.158	BLASTX1	1158	KAG7157735.1	1-phosphatidylinositol 45-bisphosphate phosphodiesterase gamma-1-like [Homarus americanus]	1358	5e-174	245/386 (63%)	1	1158	727	1104
evm.model.HiC_scaffold_53.159	BLASTX1	1844	XP_045101147.1	tRNA modification GTPase GTPBP3, mitochondrial-like isoform X3 [Portunus trituberculatus]XP_045101148.1 tRNA modification GTPase GTPBP3, mitochondrial-like isoform X3[Portunus trituberculatus]	1165	1e-149	246/377 (65%)	252	1349	21	397
evm.model.HiC_scaffold_53.16	BLASTX1	1159	XP_017591734.1	PREDICTED: skin secretory protein xP2-like [Corvus brachyrhynchos]	196	2e-12	53/196 (27%)	6	548	87	279
evm.model.HiC_scaffold_53.160	No Hit Found										
evm.model.HiC_scaffold_53.161	BLASTX1	947	KAG0713494.1	Protein inturned [Chionoecetes opilio]	567	2e-66	122/161 (75%)	465	947	177	329
evm.model.HiC_scaffold_53.162	BLASTX1	2559	XP_027211504.1	exocyst complex component 4-like [Penaeus vannamei]ROT77102.1 Exocyst complex component 4 [Penaeus vannamei]	3481	0.0	731/901 (81%)	1	2559	27	924
evm.model.HiC_scaffold_53.163	BLASTX1	418	KAG0721313.1	UPF0687 protein C20orf27 [Chionoecetes opilio]	343	8e-38	80/116 (68%)	73	417	21	136
evm.model.HiC_scaffold_53.164	BLASTX1	264	XP_042242438.1	myotrophin-like [Homarus americanus]KAG7157709.1 Myotrophin-like [Homarus americanus]	432	6e-53	81/88 (92%)	1	264	1	88
evm.model.HiC_scaffold_53.165	BLASTX1	3117	XP_042242363.1	uncharacterized protein LOC121879698 [Homarus americanus]	2341	0.0	463/865 (53%)	706	3102	23	860
evm.model.HiC_scaffold_53.166	No Hit Found										
evm.model.HiC_scaffold_53.167	BLASTX1	775	XP_042220605.1	uncharacterized protein LOC121865331 [Homarus americanus]	449	1e-47	99/223 (44%)	49	711	24	242
evm.model.HiC_scaffold_53.168	BLASTX1	538	XP_042892880.1	uncharacterized protein LOC122266955 [Penaeus japonicus]	277	2e-26	52/143 (36%)	103	528	23	160
evm.model.HiC_scaffold_53.169	BLASTX2	592	KAG0719739.1	hypothetical protein GWK47_049884 [Chionoecetes opilio]	141	2e-06	28/75 (37%)	343	567	69	143
evm.model.HiC_scaffold_53.17	BLASTN1	300	LR862368.1	Pipistrellus pipistrellus genome assembly, chromosome: 12	91	3e-11	137/192 (71%)	41	231	57569898	57570073
evm.model.HiC_scaffold_53.170	BLASTX1	736	XP_037792771.1	non-structural maintenance of chromosomes element 1 homolog isoform X1 [Penaeus monodon]	246	1e-24	59/120 (49%)	133	486	131	248
evm.model.HiC_scaffold_53.171	BLASTX1	414	XP_045101258.1	NAD-dependent protein deacetylase sirtuin-3-like [Portunus trituberculatus]	540	3e-64	100/132 (75%)	22	414	145	276
evm.model.HiC_scaffold_53.172	BLASTX1	636	XP_037781246.1	galactose-3-O-sulfotransferase 4-like isoform X2 [Penaeus monodon]	423	2e-45	100/250 (40%)	13	606	142	390
evm.model.HiC_scaffold_53.173	No Hit Found										
evm.model.HiC_scaffold_53.174	BLASTX1	228	XP_006036928.1	HRAS-like suppressor 3 [Alligator sinensis]	182	2e-14	35/57 (61%)	58	228	77	133
evm.model.HiC_scaffold_53.175	BLASTX1	266	XP_042241282.1	non-structural maintenance of chromosomes element 1 homolog, partial [Homarus americanus]	291	1e-31	53/83 (63%)	16	264	4	86
evm.model.HiC_scaffold_53.176	BLASTX1	2381	XP_045130224.1	LOW QUALITY PROTEIN: caskin-1-like [Portunus trituberculatus]	2004	0.0	605/752 (80%)	4	2229	333	1080
evm.model.HiC_scaffold_53.177	BLASTX1	657	XP_045101066.1	replication factor C subunit 3-like [Portunus trituberculatus]	980	1e-130	178/218 (81%)	4	657	76	293
evm.model.HiC_scaffold_53.178	BLASTX1	831	XP_042239839.1	26S proteasome regulatory subunit 10B [Homarus americanus]KAG7159086.1 26S proteasome regulatory subunit 10B-like [Homarus americanus]	298	5e-27	55/56 (98%)	427	594	93	148
evm.model.HiC_scaffold_53.179	BLASTX1	495	ROT79176.1	Transcription factor AP-4 [Penaeus vannamei]	502	4e-57	98/108 (90%)	2	325	30	136
evm.model.HiC_scaffold_53.18	BLASTX1	504	KAF0307021.1	Alkaline phosphatase [Amphibalanus amphitrite]	166	5e-11	40/59 (67%)	28	204	1	59
evm.model.HiC_scaffold_53.180	BLASTX1	198	XP_045101131.1	uncharacterized protein LOC123498086 [Portunus trituberculatus]	131	1e-06	23/30 (76%)	106	195	1	30
evm.model.HiC_scaffold_53.181	BLASTX1	621	XP_042885528.1	glycine-rich cell wall structural protein 1.8-like [Penaeus japonicus]	559	2e-66	99/116 (85%)	274	621	13	128
evm.model.HiC_scaffold_53.182	No Hit Found										
evm.model.HiC_scaffold_53.183	BLASTN1	784	LR584415.1	Salmo trutta genome assembly, chromosome: 15	75	2e-06	46/51 (90%)	504	554	38334622	38334669
evm.model.HiC_scaffold_53.184	BLASTX1	382	ROT74764.1	Kelch-like protein 18 [Penaeus vannamei]	255	2e-22	54/87 (62%)	2	247	223	309
evm.model.HiC_scaffold_53.185	BLASTX1	574	XP_042215465.1	lithostathine-like [Homarus americanus]	148	2e-07	28/50 (56%)	2	151	117	166
evm.model.HiC_scaffold_53.186	BLASTX1	991	XP_027231921.1	protein CASC4-like [Penaeus vannamei]	656	4e-79	144/247 (58%)	176	916	51	283
evm.model.HiC_scaffold_53.187	BLASTX1	1947	XP_045113477.1	uncharacterized protein LOC123505819 [Portunus trituberculatus]	1417	0.0	257/435 (59%)	589	1890	29	462
evm.model.HiC_scaffold_53.188	No Hit Found										
evm.model.HiC_scaffold_53.189	BLASTX1	345	XP_042889817.1	uncharacterized protein LOC122264807 isoform X2 [Penaeus japonicus]XP_042889822.1 uncharacterized protein LOC122264807 isoform X2 [Penaeus japonicus]	133	4e-06	25/68 (36%)	1	198	78	145
evm.model.HiC_scaffold_53.19	BLASTX1	173	MPC32493.1	Tigger transposable element-derived protein 2 [Portunus trituberculatus]	142	4e-09	27/46 (58%)	34	171	52	97
evm.model.HiC_scaffold_53.190	BLASTX1	368	XP_045129685.1	uncharacterized protein LOC123515209 [Portunus trituberculatus]	147	6e-08	25/45 (55%)	9	143	139	183
evm.model.HiC_scaffold_53.191	BLASTX1	496	EDO39798.1	predicted protein [Nematostella vectensis]	464	6e-50	83/164 (50%)	1	492	244	407
evm.model.HiC_scaffold_53.192	BLASTX1	2709	XP_045129988.1	RING finger protein 17-like [Portunus trituberculatus]	1013	2e-113	183/333 (54%)	142	1140	674	1006
evm.model.HiC_scaffold_53.193	BLASTX1	1169	XP_042863397.1	RING finger protein 17-like [Penaeus japonicus]	686	3e-76	168/449 (37%)	3	1169	1126	1569
evm.model.HiC_scaffold_53.194	BLASTX1	695	XP_042242374.1	nuclear receptor coactivator 6-like [Homarus americanus]XP_042242375.1 nuclear receptor coactivator 6-like [Homarus americanus]XP_042242376.1 nuclear receptor coactivator 6-like [Homarus americanus]XP_042242377.1 nuclear receptor coactivator 6-like [Homarus americanus]XP_042242378.1 nuclear receptor coactivator 6-like [Homarus americanus]XP_042242379.1 nuclear receptor coactivator 6-like [Homarus americanus]	347	4e-33	110/234 (47%)	3	671	410	617
evm.model.HiC_scaffold_53.195	BLASTX1	729	XP_027232545.1	major facilitator superfamily domain-containing protein 6-B-like isoform X2 [Penaeus vannamei]	706	4e-88	139/268 (51%)	3	728	33	300
evm.model.HiC_scaffold_53.196	No Hit Found										
evm.model.HiC_scaffold_53.197	BLASTX1	1668	XP_042242432.1	intraflagellar transport protein 81 homolog isoform X2 [Homarus americanus]	935	4e-114	171/208 (82%)	1045	1668	1	208
evm.model.HiC_scaffold_53.198	BLASTX1	1293	XP_014042254.1	PREDICTED: histidine-rich glycoprotein-like [Salmo salar]	326	3e-30	107/346 (30%)	87	998	7	313
evm.model.HiC_scaffold_53.199	No Hit Found										
evm.model.HiC_scaffold_53.2	No Hit Found										
evm.model.HiC_scaffold_53.20	BLASTX1	416	QQP58404.1	Uncharacterized protein FKW44_003711, partial [Caligus rogercresseyi]	208	4e-17	60/162 (37%)	1	378	1	162
evm.model.HiC_scaffold_53.200	BLASTX1	426	MPC09516.1	UDP-glucose 6-dehydrogenase [Portunus trituberculatus]	481	3e-55	88/101 (87%)	124	426	54	154
evm.model.HiC_scaffold_53.201	BLASTX1	1045	QNC49816.1	negative elongation factor E [Cherax quadricarinatus]	457	1e-50	80/87 (91%)	1	261	125	211
evm.model.HiC_scaffold_53.202	BLASTN1	504	OU607601.1	Thunnus albacares genome assembly, chromosome: 10	94	4e-12	88/116 (75%)	212	327	28642751	28642859
evm.model.HiC_scaffold_53.203	BLASTX1	537	XP_033122083.1	uncharacterized protein LOC117121088, partial [Anneissia japonica]	214	1e-16	44/105 (41%)	4	318	102	204
evm.model.HiC_scaffold_53.21	BLASTN1	205	LR597463.1	Sphaeramia orbicularis genome assembly, chromosome: 6	72	1e-06	139/197 (70%)	10	201	3175997	3176180
evm.model.HiC_scaffold_53.22	BLASTX1	200	XP_045130313.1	uncharacterized protein LOC123515600 isoform X5 [Portunus trituberculatus]	212	1e-17	39/51 (76%)	43	195	298	348
evm.model.HiC_scaffold_53.23	No Hit Found										
evm.model.HiC_scaffold_53.24	BLASTX1	825	XP_030836904.1	uncharacterized protein LOC105440699 [Strongylocentrotus purpuratus]	255	2e-20	81/304 (26%)	1	825	148	438
evm.model.HiC_scaffold_53.25	No Hit Found										
evm.model.HiC_scaffold_53.26	BLASTN1	366	LR633946.1	Gadus morhua genome assembly, chromosome: 4	77	2e-07	97/131 (74%)	174	303	1959475	1959596
evm.model.HiC_scaffold_53.27	No Hit Found										
evm.model.HiC_scaffold_53.28	BLASTX1	2432	XP_045138998.1	LOW QUALITY PROTEIN: neural-cadherin-like [Portunus trituberculatus]	1823	0.0	357/524 (68%)	841	2412	83	605
evm.model.HiC_scaffold_53.29	No Hit Found										
evm.model.HiC_scaffold_53.3	BLASTX1	2046	EDO39798.1	predicted protein [Nematostella vectensis]	650	3e-68	167/487 (34%)	16	1440	8	472
evm.model.HiC_scaffold_53.30	BLASTX1	1516	KAG0713306.1	Nucleic-acid-binding protein from mobile element jockey [Chionoecetes opilio]	398	3e-38	86/254 (33%)	229	990	30	263
evm.model.HiC_scaffold_53.31	BLASTX1	1147	MPC37006.1	Ribosomal RNA-processing protein 8 [Portunus trituberculatus]	793	3e-97	138/236 (58%)	454	1146	267	502
evm.model.HiC_scaffold_53.32	BLASTX1	895	XP_027217105.1	nucleolar protein 4-like [Penaeus vannamei]	1289	8e-176	262/299 (87%)	1	894	16	314
evm.model.HiC_scaffold_53.33	No Hit Found										
evm.model.HiC_scaffold_53.34	No Hit Found										
evm.model.HiC_scaffold_53.35	BLASTX1	1415	AYV99250.1	wssv082 [White spot syndrome virus]	196	8e-13	49/171 (28%)	115	618	67	227
evm.model.HiC_scaffold_53.36	No Hit Found										
evm.model.HiC_scaffold_53.37	BLASTX1	1096	AWQ61222.1	wsv220 [Shrimp white spot syndrome virus]AWQ63330.1 wsv220 [Shrimp white spot syndrome virus]	315	9e-28	93/352 (26%)	49	1086	157	471
evm.model.HiC_scaffold_53.38	BLASTX1	483	AYV99363.1	WSSV040 [White spot syndrome virus]	359	8e-36	73/151 (48%)	1	438	246	394
evm.model.HiC_scaffold_53.39	BLASTX1	1095	GBG35433.1	wsv209-like protein [Metapenaeus ensis nimavirus]	658	9e-73	165/386 (42%)	3	1091	472	846
evm.model.HiC_scaffold_53.4	No Hit Found										
evm.model.HiC_scaffold_53.40	BLASTX1	2339	XP_042242374.1	nuclear receptor coactivator 6-like [Homarus americanus]XP_042242375.1 nuclear receptor coactivator 6-like [Homarus americanus]XP_042242376.1 nuclear receptor coactivator 6-like [Homarus americanus]XP_042242377.1 nuclear receptor coactivator 6-like [Homarus americanus]XP_042242378.1 nuclear receptor coactivator 6-like [Homarus americanus]XP_042242379.1 nuclear receptor coactivator 6-like [Homarus americanus]	1265	6e-148	310/361 (85%)	1225	2292	1937	2295
evm.model.HiC_scaffold_53.41	BLASTX1	338	ROT74764.1	Kelch-like protein 18 [Penaeus vannamei]	422	1e-46	92/159 (57%)	1	336	276	434
evm.model.HiC_scaffold_53.42	BLASTX1	499	XP_015749937.1	PREDICTED: uncharacterized protein LOC107329779 [Acropora digitifera]	308	1e-31	62/130 (47%)	31	420	34	163
evm.model.HiC_scaffold_53.43	BLASTX1	917	XP_042231143.1	cyclin-dependent kinase 7-like [Homarus americanus]	1393	0.0	272/285 (95%)	61	915	20	304
evm.model.HiC_scaffold_53.44	BLASTX1	1507	KAG7168191.1	IgGFc-binding protein-like 1, partial [Homarus americanus]	193	9e-13	40/140 (28%)	919	1224	1	139
evm.model.HiC_scaffold_53.45	BLASTX1	381	XP_037788768.1	trypsin beta-like [Penaeus monodon]	290	5e-29	62/167 (37%)	1	381	45	211
evm.model.HiC_scaffold_53.46	BLASTX1	501	XP_045139070.1	FMRFamide receptor-like isoform X2 [Portunus trituberculatus]	458	1e-51	113/143 (79%)	67	495	174	315
evm.model.HiC_scaffold_53.47	BLASTX1	199	XP_042211102.1	eukaryotic translation initiation factor 3 subunit L-like [Homarus americanus]	273	6e-26	58/73 (79%)	4	198	76	145
evm.model.HiC_scaffold_53.48	BLASTX1	161	XP_007816146.1	phosphoribosyl transferase domain protein [Metarhizium acridum CQMa 102]EFY84151.1 phosphoribosyl transferase domain protein [Metarhizium acridum CQMa 102]	137	1e-07	22/45 (48%)	9	143	41	85
evm.model.HiC_scaffold_53.49	BLASTX1	184	XP_045130464.1	LOW QUALITY PROTEIN: nuclear receptor coactivator 6-like [Portunus trituberculatus]	187	3e-14	36/41 (87%)	2	124	753	793
evm.model.HiC_scaffold_53.5	No Hit Found										
evm.model.HiC_scaffold_53.50	BLASTX1	811	CAC9510510.1	Ofus.G024279, partial [Owenia fusiformis]	304	1e-27	70/222 (31%)	10	645	35	255
evm.model.HiC_scaffold_53.51	BLASTX1	1808	XP_042865161.1	mucolipin-3-like isoform X4 [Penaeus japonicus]	2249	0.0	436/606 (71%)	1	1806	159	759
evm.model.HiC_scaffold_53.52	BLASTX1	735	MPC17776.1	Cold-inducible RNA-binding protein [Portunus trituberculatus]	637	4e-78	126/255 (49%)	1	732	100	349
evm.model.HiC_scaffold_53.53	No Hit Found										
evm.model.HiC_scaffold_53.54	BLASTX1	568	XP_042210029.1	LOW QUALITY PROTEIN: myb-like protein K [Homarus americanus]	231	3e-18	43/45 (95%)	350	484	8	52
evm.model.HiC_scaffold_53.55	BLASTN1	768	OU824202.1	Ichneumon xanthorius genome assembly, chromosome: 3	181	3e-35	325/463 (70%)	300	751	7717720	7718168
evm.model.HiC_scaffold_53.56	BLASTX1	216	KAG0722089.1	PiggyBac transposable element-derived protein 4 [Chionoecetes opilio]	190	2e-14	32/61 (52%)	31	213	442	502
evm.model.HiC_scaffold_53.57	BLASTX1	216	KAG0722089.1	PiggyBac transposable element-derived protein 4 [Chionoecetes opilio]	190	2e-14	32/61 (52%)	31	213	442	502
evm.model.HiC_scaffold_53.58	No Hit Found										
evm.model.HiC_scaffold_53.59	BLASTN1	3056	OU026147.1	Eristalis pertinax genome assembly, chromosome: 3	1426	0.0	2337/3199 (73%)	6	2937	24490388	24493570
evm.model.HiC_scaffold_53.6	No Hit Found										
evm.model.HiC_scaffold_53.60	BLASTN1	5486	OU696699.1	Platycheirus albimanus genome assembly, chromosome: X	2121	0.0	3933/5597 (70%)	5	5482	20146445	20151643
evm.model.HiC_scaffold_53.61	BLASTX1	768	XP_042243508.1	nesprin-1-like isoform X9 [Homarus americanus]	889	2e-105	158/217 (72%)	118	768	3633	3849
evm.model.HiC_scaffold_53.62	BLASTX1	732	XP_033122083.1	uncharacterized protein LOC117121088, partial [Anneissia japonica]	226	9e-18	43/104 (41%)	247	558	102	204
evm.model.HiC_scaffold_53.63	BLASTX1	952	XP_028514769.1	uncharacterized protein LOC114574282 [Exaiptasia diaphana]	699	9e-81	138/314 (43%)	1	939	294	600
evm.model.HiC_scaffold_53.64	No Hit Found										
evm.model.HiC_scaffold_53.65	No Hit Found										
evm.model.HiC_scaffold_53.66	BLASTX1	1021	XP_045139000.1	uncharacterized protein LOC123520620 isoform X2 [Portunus trituberculatus]XP_045139001.1 uncharacterized protein LOC123520620 isoform X2 [Portunus trituberculatus]	416	2e-42	102/174 (58%)	506	1021	99	253
evm.model.HiC_scaffold_53.67	BLASTX1	670	KAG1663901.1	SEC14-like protein 3 [Nymphon striatum]	779	1e-93	138/216 (63%)	5	652	525	740
evm.model.HiC_scaffold_53.68	BLASTX1	632	XP_042889603.1	lysozyme-like [Penaeus japonicus]	306	2e-31	59/93 (63%)	20	286	31	123
evm.model.HiC_scaffold_53.69	BLASTX1	795	KAG0728576.1	Galactosylceramide sulfotransferase [Chionoecetes opilio]	1105	3e-149	198/262 (75%)	2	787	54	315
evm.model.HiC_scaffold_53.7	BLASTX1	291	XP_044165195.1	uncharacterized protein LOC122949114 [Acropora millepora]	228	9e-20	45/97 (46%)	1	291	53	149
evm.model.HiC_scaffold_53.70	BLASTX1	231	AKS48282.1	gamma-interferon induced thiol reductase GILT1 [Scylla paramamosain]	356	3e-40	65/77 (84%)	1	231	93	169
evm.model.HiC_scaffold_53.71	BLASTX1	323	XP_042884485.1	uncharacterized protein LOC122261050 [Penaeus japonicus]	213	4e-17	44/95 (46%)	52	321	20	113
evm.model.HiC_scaffold_53.72	BLASTX1	441	XP_045130318.1	uncharacterized protein LOC123515604 [Portunus trituberculatus]XP_045130319.1 uncharacterized protein LOC123515604 [Portunus trituberculatus]XP_045130320.1 uncharacterized protein LOC123515604 [Portunus trituberculatus]XP_045130321.1 uncharacterized protein LOC123515604 [Portunus trituberculatus]XP_045130322.1 uncharacterized protein LOC123515604 [Portunus trituberculatus]XP_045130324.1 uncharacterized protein LOC123515604 [Portunus trituberculatus]XP_045130325.1 uncharacterized protein LOC123515604 [Portunus trituberculatus]	279	2e-25	69/147 (46%)	1	441	1	134
evm.model.HiC_scaffold_53.73	BLASTX1	696	XP_037789358.1	uncharacterized protein LOC119584781 [Penaeus monodon]	390	9e-40	69/82 (84%)	1	246	442	523
evm.model.HiC_scaffold_53.74	BLASTX1	278	XP_045129796.1	uncharacterized protein LOC123515360 [Portunus trituberculatus]	182	3e-13	30/51 (58%)	3	155	151	201
evm.model.HiC_scaffold_53.75	BLASTX1	2994	XP_045122460.1	LOW QUALITY PROTEIN: calcium-activated chloride channel regulator 1-like [Portunus trituberculatus]	3829	0.0	719/946 (76%)	1	2829	43	986
evm.model.HiC_scaffold_53.76	BLASTX1	755	KAG0722089.1	PiggyBac transposable element-derived protein 4 [Chionoecetes opilio]	259	2e-21	45/69 (65%)	3	209	410	478
evm.model.HiC_scaffold_53.77	BLASTX1	235	XP_045138894.1	voltage-dependent calcium channel gamma-4 subunit-like [Portunus trituberculatus]	199	1e-15	46/72 (63%)	2	217	1	72
evm.model.HiC_scaffold_53.78	No Hit Found										
evm.model.HiC_scaffold_53.79	BLASTX1	351	XP_030200947.1	centromere-associated protein E-like isoform X5 [Gadus morhua]	173	2e-11	32/82 (39%)	103	348	1605	1686
evm.model.HiC_scaffold_53.8	BLASTX1	1965	XP_045101038.1	phospholipid scramblase 2-like isoform X2 [Portunus trituberculatus]XP_045101039.1 phospholipid scramblase 2-like isoform X2 [Portunus trituberculatus]	967	1e-122	187/217 (86%)	325	975	79	295
evm.model.HiC_scaffold_53.80	BLASTX1	1235	XP_033956099.1	piggyBac transposable element-derived protein 3-like [Pseudochaenichthys georgianus]	808	6e-99	150/270 (55%)	15	797	48	316
evm.model.HiC_scaffold_53.81	No Hit Found										
evm.model.HiC_scaffold_53.82	BLASTX1	477	XP_045158254.1	uncharacterized protein LOC123524255 [Mercenaria mercenaria]	142	3e-07	37/101 (36%)	28	261	76	176
evm.model.HiC_scaffold_53.83	BLASTX1	180	XP_045138680.1	hemicentin-2-like isoform X2 [Portunus trituberculatus]	292	4e-30	52/59 (88%)	2	178	189	247
evm.model.HiC_scaffold_53.84	BLASTX1	1611	KAG7168202.1	Caskin-1-like 2 [Homarus americanus]	1191	1e-151	303/411 (73%)	364	1569	150	559
evm.model.HiC_scaffold_53.85	BLASTX1	4275	PSN40501.1	Myosin-VIIa [Blattella germanica]	1883	0.0	367/500 (73%)	1378	2706	239	738
evm.model.HiC_scaffold_53.86	BLASTX1	838	XP_042858358.1	pancreatic triacylglycerol lipase-like [Penaeus japonicus]	957	3e-121	183/279 (65%)	2	838	162	417
evm.model.HiC_scaffold_53.87	BLASTX1	1713	KAG0708055.1	Zinc finger BED domain-containing protein 1 [Chionoecetes opilio]	537	2e-56	123/313 (39%)	406	1329	243	531
evm.model.HiC_scaffold_53.88	BLASTX1	1580	XP_045130310.1	uncharacterized protein LOC123515600 isoform X2 [Portunus trituberculatus]	2319	0.0	475/598 (79%)	3	1580	795	1392
evm.model.HiC_scaffold_53.89	BLASTX1	432	XP_042237491.1	uncharacterized protein LOC121876461 isoform X1 [Homarus americanus]	287	2e-26	58/127 (45%)	51	431	709	819
evm.model.HiC_scaffold_53.9	No Hit Found										
evm.model.HiC_scaffold_53.90	BLASTX1	692	XP_045127731.1	uncharacterized protein LOC123514148 [Portunus trituberculatus]	263	8e-23	83/205 (40%)	1	615	126	330
evm.model.HiC_scaffold_53.91	BLASTX1	855	QGC85392.1	suppressor protein SRP40-like protein, partial [Procambarus clarkii]	795	5e-101	197/247 (79%)	124	852	3	249
evm.model.HiC_scaffold_53.92	No Hit Found										
evm.model.HiC_scaffold_53.93	BLASTX1	1443	GBG35535.1	wsv216-like protein [Penaeus monodon endogenous nimavirus]	296	5e-24	133/479 (27%)	1	1338	738	1135
evm.model.HiC_scaffold_53.94	BLASTX1	273	KAG7161540.1	Zwei Ig domain protein zig-8-like 9, partial [Homarus americanus]	247	3e-23	49/75 (65%)	49	273	123	197
evm.model.HiC_scaffold_53.95	BLASTX1	822	XP_042242433.1	mucin-5AC-like [Homarus americanus]XP_042242434.1 mucin-5AC-like [Homarus americanus]KAG7157658.1 Polycomb complex protein BMI-1-like [Homarus americanus]	598	4e-66	132/199 (66%)	3	587	107	301
evm.model.HiC_scaffold_53.96	BLASTX1	2235	GBG35532.1	wsv115-like protein [Penaeus monodon endogenous nimavirus]	546	2e-54	139/351 (39%)	1303	2232	62	407
evm.model.HiC_scaffold_53.97	BLASTX1	381	XP_042229215.1	semaphorin-1A-like [Homarus americanus]	564	3e-65	104/127 (81%)	1	381	265	391
evm.model.HiC_scaffold_53.98	BLASTX1	689	AWQ62316.1	wsv011 [Shrimp white spot syndrome virus]	412	5e-42	99/230 (43%)	18	683	486	714
evm.model.HiC_scaffold_53.99	BLASTX1	317	XP_031336267.1	uncharacterized protein LOC116165741 [Photinus pyralis]	304	5e-31	54/104 (51%)	3	314	49	152
evm.model.HiC_scaffold_5335.1	No Hit Found										
evm.model.HiC_scaffold_537.1	No Hit Found										
evm.model.HiC_scaffold_54.1	BLASTX1	289	XP_042219912.1	flocculation protein FLO11-like isoform X2 [Homarus americanus]KAG7170200.1 Erbin-like [Homarus americanus]	152	6e-09	33/45 (73%)	163	288	386	430
evm.model.HiC_scaffold_54.10	BLASTX1	516	XP_028966941.1	uncharacterized protein LOC114828157 [Galendromus occidentalis]	314	5e-31	67/168 (39%)	34	516	86	253
evm.model.HiC_scaffold_54.100	BLASTX1	952	XP_042243377.1	glutathione S-transferase 1-like [Homarus americanus]	835	3e-108	148/211 (70%)	1	633	36	246
evm.model.HiC_scaffold_54.101	BLASTN1	321	OU026115.1	Blastobasis adustella genome assembly, chromosome: 2	87	3e-10	142/197 (72%)	78	271	22919017	22919198
evm.model.HiC_scaffold_54.102	BLASTX1	939	XP_042233131.1	equilibrative nucleoside transporter 1-like isoform X3 [Homarus americanus]KAG7162797.1 Equilibrative nucleoside transporter 1-like 1 [Homarus americanus]	1117	8e-149	245/314 (78%)	1	939	1	308
evm.model.HiC_scaffold_54.103	No Hit Found										
evm.model.HiC_scaffold_54.104	BLASTX1	339	XP_037786117.1	glutathione S-transferase 1-like [Penaeus monodon]QEQ12512.1 delta-class glutathione S-transferase [Penaeus monodon]	536	7e-67	99/114 (86%)	1	339	1	114
evm.model.HiC_scaffold_54.105	No Hit Found										
evm.model.HiC_scaffold_54.106	BLASTX1	2049	XP_038132508.1	adhesive plaque matrix protein-like [Cyprinodon tularosa]	484	4e-47	203/530 (38%)	229	1749	352	850
evm.model.HiC_scaffold_54.107	BLASTX1	375	XP_042203005.1	uncharacterized protein LOC121853129 [Homarus americanus]	138	8e-07	27/62 (43%)	166	345	169	230
evm.model.HiC_scaffold_54.108	BLASTX1	177	AEO92001.1	C-type lectin 1 [Scylla paramamosain]	161	9e-12	29/54 (53%)	6	167	28	81
evm.model.HiC_scaffold_54.109	No Hit Found										
evm.model.HiC_scaffold_54.11	BLASTX1	243	KAG0712312.1	Zinc finger BED domain-containing protein 1 [Chionoecetes opilio]	127	7e-06	32/74 (43%)	22	243	10	83
evm.model.HiC_scaffold_54.110	BLASTX1	339	XP_045104445.1	piggyBac transposable element-derived protein 4-like [Portunus trituberculatus]	462	6e-53	87/112 (77%)	1	336	314	425
evm.model.HiC_scaffold_54.111	BLASTX1	1116	XP_042243075.1	spondin-1-like isoform X2 [Homarus americanus]	1554	0.0	296/397 (74%)	1	1113	155	550
evm.model.HiC_scaffold_54.112	BLASTX1	755	XP_042863869.1	spondin-1-like isoform X3 [Penaeus japonicus]	283	2e-24	54/90 (60%)	3	272	861	947
evm.model.HiC_scaffold_54.113	BLASTX1	297	XP_045125328.1	probable low-specificity L-threonine aldolase 2 [Portunus trituberculatus]	235	2e-20	49/89 (55%)	1	267	232	320
evm.model.HiC_scaffold_54.114	BLASTX1	463	XP_014680947.1	PREDICTED: uncharacterized protein LOC106820867 [Priapulus caudatus]	300	1e-28	72/195 (36%)	5	451	85	279
evm.model.HiC_scaffold_54.115	BLASTX1	565	XP_045128479.1	uncharacterized protein LOC123514581 [Portunus trituberculatus]	647	7e-76	115/186 (61%)	1	558	49	234
evm.model.HiC_scaffold_54.116	No Hit Found										
evm.model.HiC_scaffold_54.117	BLASTX1	278	XP_042231597.1	proteasome activator complex subunit 4-like isoform X2 [Homarus americanus]	238	1e-20	43/63 (68%)	88	276	2	64
