Contrast,Change in OA,Category,GO,Term,Number of Genes,Genes (Uniprot IDs),Fold Enrichment,P-Value,FDR
Severe OA vs. Ambient,Downregulated,Molecular Function,GO:0019843,rRNA binding,8,"Q56FH2, P48162, Q962R1, Q8JGS9, Q95V39, Q5UAP0, Q9V3G1, Q9VXX8",3.4,0.00672,0.288
Severe OA vs. Ambient,Downregulated,Molecular Function,GO:0005542,folic acid binding,6,"Q6DCX5, Q64380, Q9Z2Q4, Q99LB7, Q91XD4, Q9YH58",4.5,0.00729,0.297
Severe OA vs. Ambient,Downregulated,Molecular Function,GO:0000287,magnesium ion binding,23,"P29401, Q178M1, Q9NYA1, Q6WIT9, Q6NV04, P52174, Q68FX0, P10587, Q9Z2K9, P13697, Q739D2, P19468, Q06197, P50137, P70704, P36871, Q6INX4, O88844, P56252, Q54UQ2, P05187, Q45FY6, Q9D819",1.8,0.00905,0.303
Severe OA vs. Ambient,Downregulated,Molecular Function,GO:0004364,glutathione transferase activity,5,"P30104, Q93112, Q03013, Q93113, P42860, P20136",5.4,0.00923,0.303
Severe OA vs. Ambient,Downregulated,Molecular Function,GO:0030976,thiamine pyrophosphate binding,5,"P29401, Q6P286, Q6NV04, Q5PRA2, P50137",5.4,0.00923,0.303
Severe OA vs. Ambient,Downregulated,Molecular Function,GO:0016505,peptidase activator activity involved in apoptotic process,4,"P80067, Q3ZCJ8, P53634, Q5RB02",7.7,0.0093,0.303
Severe OA vs. Ambient,Downregulated,Molecular Function,GO:0008453,alanine-glyoxylate transaminase activity,4,"Q0IG34, Q9W3Z3, Q3LSM4, Q940M2",7.7,0.0093,0.303
Severe OA vs. Ambient,Downregulated,Molecular Function,GO:0004175,endopeptidase activity,11,"Q9XZJ4, Q10751, P09470, P14735, P0C870, P18422, Q5E9K0, P25787, P40301",2.4,0.0123,0.384
Severe OA vs. Ambient,Downregulated,Molecular Function,GO:0008483,transaminase activity,5,"P25285, Q6DEB1, Q55F21, Q21217, Q940M2",4.8,0.0141,0.401
Severe OA vs. Ambient,Downregulated,Molecular Function,GO:0046933,"proton-transporting ATP synthase activity, rotational mechanism",6,"Q5R546, Q24751, P46561, P80021, P35434, O01666",3.9,0.0143,0.401
Severe OA vs. Ambient,Downregulated,Molecular Function,GO:0004029,aldehyde dehydrogenase (NAD) activity,6,"P0C2X9, P20000, P51977, Q8MI17, A7YWE4, Q27640",3.9,0.0143,0.401
Severe OA vs. Ambient,Downregulated,Molecular Function,GO:0042277,peptide binding,8,"P15144, P24155, P09470, Q8CGY8, P14735, P79098, P50238, P97449",2.9,0.0169,0.459
Severe OA vs. Ambient,Downregulated,Molecular Function,GO:0020037,heme binding,13,"P29981, Q9V774, O42563, P79401, O62839, Q27712, Q964T2, Q64581, P04040, Q9VA27, Q7ZUC7, P07850, P04762",2.1,0.02,0.479
Severe OA vs. Ambient,Downregulated,Molecular Function,GO:0008239,dipeptidyl-peptidase activity,5,"P90893, P80067, Q3ZCJ8, P53634, Q5RB02",4.4,0.0204,0.479
Severe OA vs. Ambient,Downregulated,Molecular Function,GO:0070330,aromatase activity,5,"Q27712, P29981, Q64581, O42563, P79401",4.4,0.0204,0.479
Severe OA vs. Ambient,Downregulated,Molecular Function,GO:0050661,NADP binding,8,"P00349, O88844, P04040, O62839, P13697, Q91Z53, P56649, P04762",2.8,0.0206,0.479
Severe OA vs. Ambient,Downregulated,Molecular Function,GO:0004177,aminopeptidase activity,8,"P15144, P91885, Q6P1B1, O54697, P79098, P0C870, P97449, Q27245",2.8,0.0206,0.479
Severe OA vs. Ambient,Downregulated,Molecular Function,GO:0008237,metallopeptidase activity,12,"Q9GV27, P15144, Q1LW01, Q10751, P91885, Q6P1B1, O54697, P09470, P14735, P79098, P97449, Q9D1A2",2.1,0.0226,0.512
Severe OA vs. Ambient,Downregulated,Molecular Function,GO:0004180,carboxypeptidase activity,6,"Q10751, O54697, Q96KP4, P09470, Q5XGB9, Q9D1A2",3.4,0.0248,0.532
Severe OA vs. Ambient,Downregulated,Molecular Function,GO:0070006,metalloaminopeptidase activity,8,"P15144, Q1JPJ2, Q6P1B1, P12955, Q5XGB9, P79098, P97449, Q27245",2.7,0.0248,0.532
Severe OA vs. Ambient,Downregulated,Molecular Function,GO:0004820,glycine-tRNA ligase activity,3,"Q5RBL1, Q10039, Q04451",9.7,0.0297,0.575
Severe OA vs. Ambient,Downregulated,Molecular Function,GO:0000268,peroxisome targeting sequence binding,3,"P04040, O62839, P04762",9.7,0.0297,0.575
Severe OA vs. Ambient,Downregulated,Molecular Function,GO:0070401,NADP+ binding,3,"Q8K0C9, Q8BMF3, Q8K3X3",9.7,0.0297,0.575
Severe OA vs. Ambient,Downregulated,Molecular Function,GO:0008446,"GDP-mannose 4,6-dehydratase activity",3,"Q8K0C9, Q1ZXF7, Q8K3X3",9.7,0.0297,0.575
Severe OA vs. Ambient,Downregulated,Molecular Function,GO:0042803,protein homodimerization activity,35,"P80147, Q6P1B1, P04636, A2V735, P14735, Q03013, P54359, P31335, P50137, A0A1L5YRA2, O35567, P04040, P20136, Q91Z53, P04762, P29401, Q1JPJ2, P70691, I2DDG2, Q9Y697, O19015, P97852, Q09326, P51659, O62839, Q7KML2, P16332, Q9XTL9, O54697, O88844, P22600, Q90744, P22985, P05661, Q8N335",1.4,0.0387,0.725
Severe OA vs. Ambient,Downregulated,Molecular Function,GO:0003688,DNA replication origin binding,6,"Q6PCI7, Q9XYU1, P49717, Q561P5, Q6NX31, Q26454",3.1,0.0392,0.725
Severe OA vs. Ambient,Downregulated,Molecular Function,GO:0008234,cysteine-type peptidase activity,8,"P25782, P80067, Q3ZCJ8, P25784, Q95029, Q93008, P53634, Q5RB02",2.4,0.0409,0.738
Severe OA vs. Ambient,Downregulated,Molecular Function,GO:0005200,structural constituent of cytoskeleton,11,"Q94572, Q91060, P20700, P41386, Q25009, P41383, Q32KN8, P24635, P02553, P18258, P02552",2,0.0417,0.738
Severe OA vs. Ambient,Downregulated,Molecular Function,GO:0005506,iron ion binding,13,"P29981, Q9V774, O42563, P79401, A0JPQ8, Q27712, Q964T2, Q64581, Q99KI0, Q9GKT2, Q3T094, Q9VA27, P22985",1.8,0.0477,0.827
Severe OA vs. Ambient,Upregulated,Molecular Function,GO:0003964,RNA-directed DNA polymerase activity,22,"P04323, P08548, P0CT40, P31792, P11369, P16423, P0CT39, Q99315, P21329, Q95SX7, P21328, P10394, O00370, Q9NBX4, P03360, P17192",9.6,2.12e-15,6.22e-13
Severe OA vs. Ambient,Upregulated,Molecular Function,GO:0000981,"RNA polymerase II transcription factor activity, sequence-specific DNA binding",33,"Q96SE7, Q08ER8, Q9UJN7, Q9P255, Q15937, A6NNF4, Q7L3S4, P51522, P53405, Q8BQN6, P47236, Q9BWM5, Q32M78, A0AVK6, O75437, Q13106, P51814, Q9HCC6, Q8TF32, Q8NI51, P35789, P17019, O15090, P31368, Q9HCG1, Q96N38, Q7Z340, P17141, Q9NJB5, Q98SJ5, Q7Z7L9, P20662, A6NP11",3,3.61e-8,5.3e-6
Severe OA vs. Ambient,Upregulated,Molecular Function,GO:0046872,metal ion binding,84,"Q9UJN7, Q08ER8, Q0V9R3, P50579, Q9P255, Q8BJ90, Q9VGI8, P11369, Q15937, A6NNF4, Q9VZS6, Q7L3S4, P53405, Q7JQ32, E9Q4S1, Q5EAB6, Q29419, P08045, P17192, Q9VJ79, Q6NTY6, P49096, Q6C5V7, Q8TF32, O15090, P16423, P0CT39, Q99315, Q96N38, Q7M3K2, Q7Z340, Q9VD44, P18729, Q7Z7L9, P03360, Q9BYV7, Q8IRW8, Q5R633, Q96SE7, Q5RDX1, Q9UPP1, Q7T2G1, P11346, P0CT40, Q5R8X1, P51522, Q96IR2, Q80V42, Q8N8E2, Q8BQN6, O00370, P42284, Q9UJU3, Q9BWM5, Q9Z2W1, Q32M78, P08548, O75437, Q13106, Q6ZMW2, A2ARV4, P51814, Q960X4, Q9UQ26, Q8NI51, Q08499, P17019, Q9GSR1, Q9HCG1, Q6GNY1, P17141, A8MQ14, Q2EI21, P20662, A6NP11",1.7,6.99e-8,6.85e-6
Severe OA vs. Ambient,Upregulated,Molecular Function,GO:0004190,aspartic-type endopeptidase activity,13,"P0CT39, Q99315, P04323, P10394, P03360, P0CT40, P16423",6.9,2.13e-7,1.57e-5
Severe OA vs. Ambient,Upregulated,Molecular Function,GO:0000978,RNA polymerase II core promoter proximal region sequence-specific DNA binding,32,"Q05192, Q96SE7, Q08ER8, Q7T2G1, Q9P255, Q8BJ90, A6NNF4, Q7L3S4, P51522, Q96IR2, P47236, Q9UJU3, Q9BWM5, Q32M78, A0AVK6, O75437, Q13106, Q6ZMW2, P51814, Q9HCC6, Q8TF32, Q8NI51, P35789, P17019, O15090, P31368, Q9HCG1, Q96N38, Q7Z340, Q9NJB5, A8MQ14, A6NP11",2.7,4.22e-7,2.48e-5
Severe OA vs. Ambient,Upregulated,Molecular Function,GO:0004519,endonuclease activity,13,"P0CT39, Q99315, P04323, P10394, P0CT40, P11369, P16423",6.3,6.62e-7,3.24e-5
Severe OA vs. Ambient,Upregulated,Molecular Function,GO:0003887,DNA-directed DNA polymerase activity,13,"P0CT39, Q99315, P03360, P0CT40, P31792, P17192, Q9GSR1",5.8,1.81e-6,7.6e-5
Severe OA vs. Ambient,Upregulated,Molecular Function,GO:0003677,DNA binding,41,"O75564, Q852K5, Q5R8X1, P0CT40, Q8BJ90, P53405, Q8N8E2, B2RRL2, P0C218, Q8BQN6, Q7KRI2, P42284, Q29419, Q6NT04, P17192, Q6NTY6, O00255, Q96MW7, Q9HCC6, Q8NI51, Q9GSR1, P31368, P0CT39, Q99315, Q7M3K2, Q9QX47, P18729, P17141, Q9NJB5, Q98SJ5, Q99816, P03360, P20662",1.8,1.35e-4,0.00497
Severe OA vs. Ambient,Upregulated,Molecular Function,GO:0003693,P-element binding,3,Q7M3K2,31,0.00301,0.0886
Severe OA vs. Ambient,Upregulated,Molecular Function,GO:0004803,transposase activity,3,Q7M3K2,31,0.00301,0.0886
Severe OA vs. Ambient,Upregulated,Molecular Function,GO:0003723,RNA binding,28,"Q9HAV4, Q5XIV0, Q8IZ73, Q14978, Q0IHW3, Q0V9R3, P29174, P50579, P0CT40, Q09666, Q9Y4I1, Q29S22, P0CT39, Q99315, P0C218, Q6DGV1, Q9QX47, Q9VD44, P03360, P08045, Q9VVE5, Q5HZM1",1.6,0.0146,0.39
Severe OA vs. Ambient,Upregulated,Molecular Function,GO:0003676,nucleic acid binding,15,"P04323, P29174, P31792, P11369, Q9VGI8, Q09575, Q29S22, Q99315, B2RRL2, P0C218, Q6DGV1, P10394, Q9QX47, Q9BY12, A0A345BJN8",2,0.0193,0.472
Severe OA vs. Ambient,Upregulated,Molecular Function,GO:0004115,"3',5'-cyclic-AMP phosphodiesterase activity",3,"E9Q4S1, Q08499, Q9VJ79",10.3,0.0318,0.72
Severe OA vs. Ambient,Upregulated,Molecular Function,GO:0004523,RNA-DNA hybrid ribonuclease activity,5,"Q99315, P03360, P31792, P17192, P11369",3.8,0.0414,0.857
Severe OA vs. Ambient,Upregulated,Molecular Function,GO:0001228,"transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding",9,"Q9NJB5, P47236, Q9UJU3, Q6ZMW2, A8MQ14, Q8BJ90, Q8NI51, Q96IR2, P31368",2.3,0.0437,0.857
Severe OA vs. Ambient,Upregulated,Molecular Function,GO:0030215,semaphorin receptor binding,3,"Q26473, Q7JQ32",8.5,0.0466,0.857
Severe OA vs. Moderate OA,Upregulated,Molecular Function,GO:0003693,P-element binding,3,Q7M3K2,1093,1.39e-6,9.76e-6
Severe OA vs. Moderate OA,Upregulated,Molecular Function,GO:0004803,transposase activity,3,Q7M3K2,1093,1.39e-6,9.76e-6
Severe OA vs. Moderate OA,Upregulated,Molecular Function,GO:0046983,protein dimerization activity,3,Q7M3K2,55.6,7.82e-4,0.00365
Severe OA vs. Moderate OA,Upregulated,Molecular Function,GO:0003964,RNA-directed DNA polymerase activity,3,"P04323, P21328, O00370",46.2,0.00113,0.00396
Severe OA vs. Moderate OA,Upregulated,Molecular Function,GO:0016740,transferase activity,3,Q7M3K2,9.2,0.0263,0.0738
